psy_code,top5_mean,total_mean,weighted_mean,reg_date,purpose
P202507041AFF,8.8,8.8,1.5253731343283583,2025-09-29 15:11:42.444447,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507046A44,3.6,3.6,1.2149253731343284,2025-09-29 15:11:42.451222,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507070C5F,0.0,0.0,1.0,2025-09-29 15:11:42.454355,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507074212,2.8,2.3333333333333335,1.1504477611940298,2025-09-29 15:11:42.461748,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507075FAD,2.5,2.5,1.1492537313432836,2025-09-29 15:11:42.467509,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507086502,3.25,3.25,1.1940298507462686,2025-09-29 15:11:42.472998,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250708740B,43.0,20.0,2.7432835820895525,2025-09-29 15:11:42.496651,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250708B5F0,2.0,2.0,1.1194029850746268,2025-09-29 15:11:42.501668,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025070901E3,1.0,1.0,1.0597014925373134,2025-09-29 15:11:42.505646,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507093825,3.4,3.4,1.2029850746268658,2025-09-29 15:11:42.512386,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250709419F,0.0,0.0,1.0,2025-09-29 15:11:42.515453,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025070959FC,1.0,1.0,1.0597014925373134,2025-09-29 15:11:42.519389,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025070965A7,2.0,2.0,1.1194029850746268,2025-09-29 15:11:42.524113,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507098064,1.3333333333333333,1.3333333333333333,1.0796019900497513,2025-09-29 15:11:42.529722,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507102E70,0.75,0.75,1.044776119402985,2025-09-29 15:11:42.535138,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507103119,0.0,0.0,1.0,2025-09-29 15:11:42.538778,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507109373,3.6,3.6,1.2149253731343284,2025-09-29 15:11:42.545578,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507109627,10.5,10.5,1.626865671641791,2025-09-29 15:11:42.551297,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250710DD9E,5.25,5.25,1.3134328358208955,2025-09-29 15:11:42.557070,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250710E2B5,0.0,0.0,1.0,2025-09-29 15:11:42.560755,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250710E92D,1.25,1.25,1.0746268656716418,2025-09-29 15:11:42.566167,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025071179A1,5.0,4.833333333333333,1.292537313432836,2025-09-29 15:11:42.573513,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250711832F,0.3333333333333333,0.3333333333333333,1.0199004975124377,2025-09-29 15:11:42.578661,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507118C5B,0.6666666666666666,0.6666666666666666,1.0398009950248757,2025-09-29 15:11:42.583426,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250711FD39,20.2,12.2,1.9194029850746268,2025-09-29 15:11:42.594890,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507154E91,216.6,131.82608695652175,5.0,2025-09-29 15:11:42.617369,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250716280A,0.0,0.0,1.0,2025-09-29 15:11:42.620629,"""purpose=calibration;celling_parameter=67;author=Yumin"""
