psy_code,top5_mean,total_mean,weighted_mean,reg_date,purpose
P2025072408CB,116.4,67.95238095238095,5.0,2025-09-09 17:15:08.261662,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250724CD24,4.4,2.4444444444444446,1.4302222222222223,2025-09-09 17:15:08.272380,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202508039384,0.0,0.0,1.0,2025-09-09 17:15:08.276939,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250806E7E9,0.0,0.0,1.0,2025-09-09 17:15:08.279806,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025080762D7,0.0,0.0,1.0,2025-09-09 17:15:08.283260,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202508119E7D,2.6,2.6,1.3466666666666667,2025-09-09 17:15:08.289784,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025081356D5,3.3333333333333335,3.3333333333333335,1.4444444444444444,2025-09-09 17:15:08.294367,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507041AFF,8.8,8.8,2.135483870967742,2025-09-09 17:15:08.303088,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507046A44,3.6,3.6,1.4645161290322581,2025-09-09 17:15:08.309361,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507070C5F,0.0,0.0,1.0,2025-09-09 17:15:08.312734,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507074212,2.8,2.3333333333333335,1.3251612903225807,2025-09-09 17:15:08.320022,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507075FAD,2.5,2.5,1.3225806451612903,2025-09-09 17:15:08.325750,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507086502,3.25,3.25,1.4193548387096775,2025-09-09 17:15:08.330978,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250708740B,43.0,20.0,4.767741935483871,2025-09-09 17:15:08.355107,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250708B5F0,2.0,2.0,1.2580645161290323,2025-09-09 17:15:08.359931,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P2025070901E3,1.0,1.0,1.129032258064516,2025-09-09 17:15:08.363842,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507093825,3.4,3.4,1.4387096774193548,2025-09-09 17:15:08.371009,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250709419F,0.0,0.0,1.0,2025-09-09 17:15:08.373967,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P2025070959FC,1.0,1.0,1.129032258064516,2025-09-09 17:15:08.377800,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P2025070965A7,2.0,2.0,1.2580645161290323,2025-09-09 17:15:08.382390,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507098064,1.3333333333333333,1.3333333333333333,1.1720430107526882,2025-09-09 17:15:08.387623,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507102E70,0.75,0.75,1.096774193548387,2025-09-09 17:15:08.393088,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507103119,0.0,0.0,1.0,2025-09-09 17:15:08.396765,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507109373,3.6,3.6,1.4645161290322581,2025-09-09 17:15:08.403900,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507109627,10.5,10.5,2.354838709677419,2025-09-09 17:15:08.409608,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250710DD9E,5.25,5.25,1.6774193548387095,2025-09-09 17:15:08.415355,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250710E2B5,0.0,0.0,1.0,2025-09-09 17:15:08.418844,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250710E92D,1.25,1.25,1.1612903225806452,2025-09-09 17:15:08.424800,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P2025071179A1,5.0,4.833333333333333,1.632258064516129,2025-09-09 17:15:08.432401,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250711832F,0.3333333333333333,0.3333333333333333,1.043010752688172,2025-09-09 17:15:08.437426,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507118C5B,0.6666666666666666,0.6666666666666666,1.086021505376344,2025-09-09 17:15:08.442491,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250711FD39,20.2,12.2,2.987096774193548,2025-09-09 17:15:08.453510,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507154E91,216.6,131.82608695652175,5.0,2025-09-09 17:15:08.477319,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250716280A,0.0,0.0,1.0,2025-09-09 17:15:08.480357,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507169BCD,187.6,84.56521739130434,5.0,2025-09-09 17:15:08.503522,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250716BB5E,205.2,81.68,5.0,2025-09-09 17:15:08.530137,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250716BE86,31.6,7.9,3.242580645161291,2025-09-09 17:15:08.548881,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507178C27,194.4,84.18181818181819,5.0,2025-09-09 17:15:08.572391,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507183B0A,10.4,4.238095238095238,1.8648847926267282,2025-09-09 17:15:08.592496,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250718B4BE,10.8,4.2272727272727275,1.884692082111437,2025-09-09 17:15:08.613505,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507213ACA,125.2,63.6,5.0,2025-09-09 17:15:08.634380,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507217086,91.0,40.17391304347826,5.0,2025-09-09 17:15:08.657324,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P2025072176E5,56.0,26.5,5.0,2025-09-09 17:15:08.678405,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250721C339,0.0,0.0,1.0,2025-09-09 17:15:08.681392,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P2025072289FD,95.8,53.04347826086956,5.0,2025-09-09 17:15:08.704613,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250722BAB6,86.2,49.3125,5.0,2025-09-09 17:15:08.721739,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250722D67F,132.0,57.0,5.0,2025-09-09 17:15:08.742940,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P2025072322B4,0.0,0.0,1.0,2025-09-09 17:15:08.746862,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P2025072408CB,116.4,67.95238095238095,5.0,2025-09-09 17:15:08.769155,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250724CD24,4.4,2.4444444444444446,1.4163440860215055,2025-09-09 17:15:08.779128,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202508039384,0.0,0.0,1.0,2025-09-09 17:15:08.784146,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P20250806E7E9,0.0,0.0,1.0,2025-09-09 17:15:08.787300,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P2025080762D7,0.0,0.0,1.0,2025-09-09 17:15:08.790235,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202508119E7D,2.6,2.6,1.335483870967742,2025-09-09 17:15:08.796654,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P2025081356D5,3.3333333333333335,3.3333333333333335,1.4301075268817205,2025-09-09 17:15:08.802062,"""purpose=calibration;celling_parameter=31;author=Yumin"""
P202507041AFF,8.8,8.8,2.1,2025-09-09 17:15:08.810283,"""purpose=calibration;celling_parameter=32;author=Yumin"""
P202507046A44,3.6,3.6,1.4500000000000002,2025-09-09 17:15:08.816598,"""purpose=calibration;celling_parameter=32;author=Yumin"""
P202507070C5F,0.0,0.0,1.0,2025-09-09 17:15:08.819660,"""purpose=calibration;celling_parameter=32;author=Yumin"""
P202507074212,2.8,2.3333333333333335,1.315,2025-09-09 17:15:08.827187,"""purpose=calibration;celling_parameter=32;author=Yumin"""
P202507075FAD,2.5,2.5,1.3125,2025-09-09 17:15:08.832850,"""purpose=calibration;celling_parameter=32;author=Yumin"""
P202507086502,3.25,3.25,1.40625,2025-09-09 17:15:08.838788,"""purpose=calibration;celling_parameter=32;author=Yumin"""
P20250708740B,43.0,20.0,4.65,2025-09-09 17:15:08.863091,"""purpose=calibration;celling_parameter=32;author=Yumin"""
P20250708B5F0,2.0,2.0,1.25,2025-09-09 17:15:08.868290,"""purpose=calibration;celling_parameter=32;author=Yumin"""
P2025070901E3,1.0,1.0,1.125,2025-09-09 17:15:08.872443,"""purpose=calibration;celling_parameter=32;author=Yumin"""
P202507093825,3.4,3.4,1.425,2025-09-09 17:15:08.879053,"""purpose=calibration;celling_parameter=32;author=Yumin"""
