psy_code,top5_mean,total_mean,weighted_mean,reg_date,purpose
P202507041AFF,35.2,35.2,3.101492537313433,2025-09-22 16:38:51.605498,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507046A44,14.4,14.4,1.8597014925373134,2025-09-22 16:38:51.611984,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507070C5F,0.0,0.0,1.0,2025-09-22 16:38:51.615094,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507074212,11.2,9.333333333333334,1.6017910447761194,2025-09-22 16:38:51.622896,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507075FAD,10.0,10.0,1.5970149253731343,2025-09-22 16:38:51.630284,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507086502,13.0,13.0,1.7761194029850746,2025-09-22 16:38:51.637931,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250708740B,172.0,80.0,5.0,2025-09-22 16:38:51.662994,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250708B5F0,8.0,8.0,1.4776119402985075,2025-09-22 16:38:51.667601,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025070901E3,4.0,4.0,1.2388059701492538,2025-09-22 16:38:51.671750,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507093825,13.6,13.6,1.8119402985074626,2025-09-22 16:38:51.678759,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250709419F,0.0,0.0,1.0,2025-09-22 16:38:51.681650,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025070959FC,4.0,4.0,1.2388059701492538,2025-09-22 16:38:51.685605,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025070965A7,8.0,8.0,1.4776119402985075,2025-09-22 16:38:51.690757,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507098064,5.333333333333333,5.333333333333333,1.3184079601990049,2025-09-22 16:38:51.696258,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507102E70,3.0,3.0,1.1791044776119404,2025-09-22 16:38:51.701858,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507103119,0.0,0.0,1.0,2025-09-22 16:38:51.705524,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507109373,14.4,14.4,1.8597014925373134,2025-09-22 16:38:51.712969,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507109627,42.0,42.0,3.5074626865671643,2025-09-22 16:38:51.719134,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250710DD9E,21.0,21.0,2.253731343283582,2025-09-22 16:38:51.724735,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250710E2B5,0.0,0.0,1.0,2025-09-22 16:38:51.727911,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250710E92D,5.0,5.0,1.2985074626865671,2025-09-22 16:38:51.733835,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025071179A1,20.0,19.333333333333332,2.1701492537313434,2025-09-22 16:38:51.741871,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250711832F,1.3333333333333333,1.3333333333333333,1.0796019900497513,2025-09-22 16:38:51.747481,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507118C5B,2.6666666666666665,2.6666666666666665,1.1592039800995024,2025-09-22 16:38:51.752400,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250711FD39,80.8,48.8,4.677611940298507,2025-09-22 16:38:51.764929,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507154E91,866.4,527.304347826087,5.0,2025-09-22 16:38:51.789468,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250716280A,0.0,0.0,1.0,2025-09-22 16:38:51.793566,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507169BCD,750.4,338.2608695652174,5.0,2025-09-22 16:38:51.818915,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250716BB5E,820.8,326.72,5.0,2025-09-22 16:38:51.847251,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250716BE86,126.4,31.6,5.0,2025-09-22 16:38:51.864584,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507178C27,777.6,336.72727272727275,5.0,2025-09-22 16:38:51.887923,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507183B0A,41.6,16.952380952380953,2.600682302771855,2025-09-22 16:38:51.909273,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250718B4BE,43.2,16.90909090909091,2.6373405698778836,2025-09-22 16:38:51.930783,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507213ACA,500.8,254.4,5.0,2025-09-22 16:38:51.951146,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507217086,364.0,160.69565217391303,5.0,2025-09-22 16:38:51.976019,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025072176E5,224.0,106.0,5.0,2025-09-22 16:38:51.998040,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250721C339,0.0,0.0,1.0,2025-09-22 16:38:52.001033,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025072289FD,383.2,212.17391304347825,5.0,2025-09-22 16:38:52.024712,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250722BAB6,344.8,197.25,5.0,2025-09-22 16:38:52.041494,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250722D67F,528.0,228.0,5.0,2025-09-22 16:38:52.063699,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025072322B4,0.0,0.0,1.0,2025-09-22 16:38:52.067630,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025072408CB,465.6,271.8095238095238,5.0,2025-09-22 16:38:52.089637,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250724CD24,17.6,9.777777777777779,1.7705472636815922,2025-09-22 16:38:52.100075,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202508039384,0.0,0.0,1.0,2025-09-22 16:38:52.104808,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250806E7E9,0.0,0.0,1.0,2025-09-22 16:38:52.108402,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025080762D7,0.0,0.0,1.0,2025-09-22 16:38:52.111856,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202508119E7D,10.4,10.4,1.6208955223880597,2025-09-22 16:38:52.118147,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025081356D5,13.333333333333334,13.333333333333334,1.7960199004975124,2025-09-22 16:38:52.122896,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507041AFF,35.2,35.2,3.070588235294118,2025-09-22 16:38:52.132711,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507046A44,14.4,14.4,1.8470588235294119,2025-09-22 16:38:52.139617,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507070C5F,0.0,0.0,1.0,2025-09-22 16:38:52.142974,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507074212,11.2,9.333333333333334,1.592941176470588,2025-09-22 16:38:52.150702,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507075FAD,10.0,10.0,1.5882352941176472,2025-09-22 16:38:52.156766,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507086502,13.0,13.0,1.7647058823529411,2025-09-22 16:38:52.162884,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250708740B,172.0,80.0,5.0,2025-09-22 16:38:52.187527,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250708B5F0,8.0,8.0,1.4705882352941178,2025-09-22 16:38:52.192804,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P2025070901E3,4.0,4.0,1.2352941176470589,2025-09-22 16:38:52.196786,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507093825,13.6,13.6,1.8,2025-09-22 16:38:52.203425,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250709419F,0.0,0.0,1.0,2025-09-22 16:38:52.206331,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P2025070959FC,4.0,4.0,1.2352941176470589,2025-09-22 16:38:52.210753,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P2025070965A7,8.0,8.0,1.4705882352941178,2025-09-22 16:38:52.215642,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507098064,5.333333333333333,5.333333333333333,1.3137254901960784,2025-09-22 16:38:52.220431,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507102E70,3.0,3.0,1.1764705882352942,2025-09-22 16:38:52.226990,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507103119,0.0,0.0,1.0,2025-09-22 16:38:52.230873,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507109373,14.4,14.4,1.8470588235294119,2025-09-22 16:38:52.237212,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507109627,42.0,42.0,3.4705882352941178,2025-09-22 16:38:52.243503,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250710DD9E,21.0,21.0,2.235294117647059,2025-09-22 16:38:52.249306,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250710E2B5,0.0,0.0,1.0,2025-09-22 16:38:52.252144,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250710E92D,5.0,5.0,1.2941176470588236,2025-09-22 16:38:52.257743,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P2025071179A1,20.0,19.333333333333332,2.1529411764705886,2025-09-22 16:38:52.265612,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250711832F,1.3333333333333333,1.3333333333333333,1.0784313725490196,2025-09-22 16:38:52.270193,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507118C5B,2.6666666666666665,2.6666666666666665,1.156862745098039,2025-09-22 16:38:52.275257,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250711FD39,80.8,48.8,4.623529411764705,2025-09-22 16:38:52.285917,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507154E91,866.4,527.304347826087,5.0,2025-09-22 16:38:52.311105,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250716280A,0.0,0.0,1.0,2025-09-22 16:38:52.314071,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507169BCD,750.4,338.2608695652174,5.0,2025-09-22 16:38:52.338483,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250716BB5E,820.8,326.72,5.0,2025-09-22 16:38:52.366804,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250716BE86,126.4,31.6,5.0,2025-09-22 16:38:52.384555,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507178C27,777.6,336.72727272727275,5.0,2025-09-22 16:38:52.407906,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507183B0A,41.6,16.952380952380953,2.5771428571428574,2025-09-22 16:38:52.429118,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250718B4BE,43.2,16.90909090909091,2.6132620320855615,2025-09-22 16:38:52.450539,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507213ACA,500.8,254.4,5.0,2025-09-22 16:38:52.471475,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507217086,364.0,160.69565217391303,5.0,2025-09-22 16:38:52.495536,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P2025072176E5,224.0,106.0,5.0,2025-09-22 16:38:52.517298,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250721C339,0.0,0.0,1.0,2025-09-22 16:38:52.520179,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P2025072289FD,383.2,212.17391304347825,5.0,2025-09-22 16:38:52.544236,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250722BAB6,344.8,197.25,5.0,2025-09-22 16:38:52.562676,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250722D67F,528.0,228.0,5.0,2025-09-22 16:38:52.584700,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P2025072322B4,0.0,0.0,1.0,2025-09-22 16:38:52.588556,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P2025072408CB,465.6,271.8095238095238,5.0,2025-09-22 16:38:52.611582,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250724CD24,17.6,9.777777777777779,1.7592156862745099,2025-09-22 16:38:52.621618,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202508039384,0.0,0.0,1.0,2025-09-22 16:38:52.627022,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P20250806E7E9,0.0,0.0,1.0,2025-09-22 16:38:52.629987,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P2025080762D7,0.0,0.0,1.0,2025-09-22 16:38:52.632883,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202508119E7D,10.4,10.4,1.611764705882353,2025-09-22 16:38:52.639923,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P2025081356D5,13.333333333333334,13.333333333333334,1.784313725490196,2025-09-22 16:38:52.645399,"""purpose=calibration;celling_parameter=68;author=Yumin"""
P202507041AFF,35.2,35.2,3.040579710144928,2025-09-22 16:38:52.654862,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507046A44,14.4,14.4,1.8347826086956522,2025-09-22 16:38:52.662025,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507070C5F,0.0,0.0,1.0,2025-09-22 16:38:52.665205,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507074212,11.2,9.333333333333334,1.5843478260869566,2025-09-22 16:38:52.672353,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507075FAD,10.0,10.0,1.5797101449275361,2025-09-22 16:38:52.678400,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507086502,13.0,13.0,1.7536231884057971,2025-09-22 16:38:52.684359,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250708740B,172.0,80.0,5.0,2025-09-22 16:38:52.709602,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250708B5F0,8.0,8.0,1.463768115942029,2025-09-22 16:38:52.714572,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P2025070901E3,4.0,4.0,1.2318840579710144,2025-09-22 16:38:52.718751,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507093825,13.6,13.6,1.7884057971014493,2025-09-22 16:38:52.725747,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250709419F,0.0,0.0,1.0,2025-09-22 16:38:52.728840,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P2025070959FC,4.0,4.0,1.2318840579710144,2025-09-22 16:38:52.733148,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P2025070965A7,8.0,8.0,1.463768115942029,2025-09-22 16:38:52.737743,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507098064,5.333333333333333,5.333333333333333,1.3091787439613527,2025-09-22 16:38:52.743367,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507102E70,3.0,3.0,1.1739130434782608,2025-09-22 16:38:52.749339,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507103119,0.0,0.0,1.0,2025-09-22 16:38:52.752959,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507109373,14.4,14.4,1.8347826086956522,2025-09-22 16:38:52.760177,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507109627,42.0,42.0,3.4347826086956523,2025-09-22 16:38:52.766005,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250710DD9E,21.0,21.0,2.217391304347826,2025-09-22 16:38:52.772226,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250710E2B5,0.0,0.0,1.0,2025-09-22 16:38:52.775375,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250710E92D,5.0,5.0,1.289855072463768,2025-09-22 16:38:52.781120,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P2025071179A1,20.0,19.333333333333332,2.1362318840579713,2025-09-22 16:38:52.789282,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250711832F,1.3333333333333333,1.3333333333333333,1.077294685990338,2025-09-22 16:38:52.794283,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507118C5B,2.6666666666666665,2.6666666666666665,1.1545893719806763,2025-09-22 16:38:52.799011,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250711FD39,80.8,48.8,4.571014492753623,2025-09-22 16:38:52.810271,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507154E91,866.4,527.304347826087,5.0,2025-09-22 16:38:52.835177,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250716280A,0.0,0.0,1.0,2025-09-22 16:38:52.838159,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507169BCD,750.4,338.2608695652174,5.0,2025-09-22 16:38:52.863587,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250716BB5E,820.8,326.72,5.0,2025-09-22 16:38:52.889826,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250716BE86,126.4,31.6,5.0,2025-09-22 16:38:52.914569,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507178C27,777.6,336.72727272727275,5.0,2025-09-22 16:38:52.970820,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507183B0A,41.6,16.952380952380953,2.5542857142857143,2025-09-22 16:38:53.012016,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250718B4BE,43.2,16.90909090909091,2.5898814229249014,2025-09-22 16:38:53.034175,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507213ACA,500.8,254.4,5.0,2025-09-22 16:38:53.054543,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507217086,364.0,160.69565217391303,5.0,2025-09-22 16:38:53.077513,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P2025072176E5,224.0,106.0,5.0,2025-09-22 16:38:53.099403,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250721C339,0.0,0.0,1.0,2025-09-22 16:38:53.102607,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P2025072289FD,383.2,212.17391304347825,5.0,2025-09-22 16:38:53.125814,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250722BAB6,344.8,197.25,5.0,2025-09-22 16:38:53.142322,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250722D67F,528.0,228.0,5.0,2025-09-22 16:38:53.164832,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P2025072322B4,0.0,0.0,1.0,2025-09-22 16:38:53.168803,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P2025072408CB,465.6,271.8095238095238,5.0,2025-09-22 16:38:53.190611,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250724CD24,17.6,9.777777777777779,1.7482125603864735,2025-09-22 16:38:53.200971,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202508039384,0.0,0.0,1.0,2025-09-22 16:38:53.205574,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P20250806E7E9,0.0,0.0,1.0,2025-09-22 16:38:53.208756,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P2025080762D7,0.0,0.0,1.0,2025-09-22 16:38:53.211652,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202508119E7D,10.4,10.4,1.6028985507246376,2025-09-22 16:38:53.218327,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P2025081356D5,13.333333333333334,13.333333333333334,1.7729468599033815,2025-09-22 16:38:53.223212,"""purpose=calibration;celling_parameter=69;author=Yumin"""
P202507041AFF,35.2,35.2,3.0114285714285716,2025-09-22 16:38:53.232255,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P202507046A44,14.4,14.4,1.822857142857143,2025-09-22 16:38:53.238844,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P202507070C5F,0.0,0.0,1.0,2025-09-22 16:38:53.241846,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P202507074212,11.2,9.333333333333334,1.576,2025-09-22 16:38:53.248886,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P202507075FAD,10.0,10.0,1.5714285714285714,2025-09-22 16:38:53.255012,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P202507086502,13.0,13.0,1.7428571428571429,2025-09-22 16:38:53.260686,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P20250708740B,172.0,80.0,5.0,2025-09-22 16:38:53.285584,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P20250708B5F0,8.0,8.0,1.457142857142857,2025-09-22 16:38:53.290234,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P2025070901E3,4.0,4.0,1.2285714285714286,2025-09-22 16:38:53.294476,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P202507093825,13.6,13.6,1.7771428571428571,2025-09-22 16:38:53.301517,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P20250709419F,0.0,0.0,1.0,2025-09-22 16:38:53.304616,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P2025070959FC,4.0,4.0,1.2285714285714286,2025-09-22 16:38:53.309204,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P2025070965A7,8.0,8.0,1.457142857142857,2025-09-22 16:38:53.314340,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P202507098064,5.333333333333333,5.333333333333333,1.3047619047619048,2025-09-22 16:38:53.319087,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P202507102E70,3.0,3.0,1.1714285714285715,2025-09-22 16:38:53.324751,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P202507103119,0.0,0.0,1.0,2025-09-22 16:38:53.328576,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P202507109373,14.4,14.4,1.822857142857143,2025-09-22 16:38:53.335405,"""purpose=calibration;celling_parameter=70;author=Yumin"""
P202507109627,42.0,42.0,3.4,2025-09-22 16:38:53.341144,"""purpose=calibration;celling_parameter=70;author=Yumin"""
