"PSY_ORD_NO","CLASS_CODE","USE_YN","REG_MEMBER_NO","REG_DATE"
P2509101012137bf8b5f,DC017620255014BE0,Y,M10000175,"2025-09-10 10:12:13"
P250918103942b21fc59,M100000012025201444F,Y,M10000001,"2025-09-18 10:39:42"
P250918104013030fcc3,M100000072025101404F,Y,M10000007,"2025-09-18 10:40:13"
P25091810404771ad855,M10000001202510109E2,Y,M10000001,"2025-09-18 10:40:36"
P250918104246a7a8c68,AC00012025401F67B,Y,M10000001,"2025-09-18 10:42:46"
P25091810554337b9929,M100000072025201DF84,Y,M10000007,"2025-09-18 10:55:45"
P250918105603fb74d31,M1000000720254057B7C,Y,M10000007,"2025-09-18 10:56:05"
P2509181058509903131,M100000072025602C8B8,Y,M10000007,"2025-09-18 10:58:50"
P2509181124433c3e552,M1000011820251014329,Y,M10000118,"2025-09-18 11:24:43"
P2509181134364d723b7,M100001182025301662D,Y,M10000118,"2025-09-18 11:34:36"
P250919112312df7f981,M10000184202550292B8,Y,M10000184,"2025-09-19 11:23:12"
P250919114318bc37c20,M1000018520256054D05,Y,M10000185,"2025-09-19 11:43:18"
P250921232356a8a6cca,M1000018820256011403,Y,M10000188,"2025-09-21 23:23:56"
P2509220814574b97df4,M100001892025501303A,Y,M10000189,"2025-09-22 08:14:57"
P2509220840443fffd42,M1000019020256036DDF,Y,M10000190,"2025-09-22 08:40:44"
P25092208421409fca8f,M100001912025403D5C9,Y,M10000191,"2025-09-22 08:42:14"
P25092216061853e5188,M100001742025502FAF5,Y,M10000174,"2025-09-22 16:06:18"
P2509221721106148c17,M100001922025601C2D1,Y,M10000192,"2025-09-22 17:21:10"
P250923085026f0a6621,M1000019820255011DA8,Y,M10000198,"2025-09-23 08:50:26"
P250923142923061fef0,M1000019920254052040,Y,M10000199,"2025-09-23 14:29:23"
P250923144634e2fc989,M100001972025601A525,Y,M10000197,"2025-09-23 14:46:34"
P2509231446454453c0d,M10000197202560231D7,Y,M10000197,"2025-09-23 14:46:45"
P2509231446572a90feb,M100001972025603C44D,Y,M10000197,"2025-09-23 14:46:57"
P250923144709f2276ad,M1000019720256046EF9,Y,M10000197,"2025-09-23 14:47:09"
P250923144730e7919a3,M100002062025401DC72,Y,M10000206,"2025-09-23 14:47:30"
P250923144817399f89a,M100001972025605DB9F,Y,M10000197,"2025-09-23 14:48:17"
P250923144844ced26e4,M1000019720253013DA1,Y,M10000197,"2025-09-23 14:48:44"
P25092314552688590cc,M1000000120253101C28,Y,M10000001,"2025-09-23 14:55:27"
P2509231539173d171de,M1000020720254020CB5,Y,M10000207,"2025-09-23 15:39:17"
P2509231539337a7179a,M100002072025401865F,Y,M10000207,"2025-09-23 15:39:33"
P2509231546048559eb2,DC03142025601168B,Y,M10000197,"2025-09-23 15:46:04"
P2509231546048559eb2,DC03142025602FCDA,Y,M10000197,"2025-09-23 15:46:04"
P2509231546048559eb2,DC03142025603682B,Y,M10000197,"2025-09-23 15:46:04"
P2509231546048559eb2,DC03142025604BED2,Y,M10000197,"2025-09-23 15:46:04"
P2509231546048559eb2,DC03142025605636F,Y,M10000197,"2025-09-23 15:46:04"
P2509231546048559eb2,DC03142025606A123,Y,M10000197,"2025-09-23 15:46:04"
P250923160359d266675,M10000200202560504CB,Y,M10000200,"2025-09-23 16:03:59"
P2509231705233126211,M10000001202561001C8,Y,M10000001,"2025-09-23 17:05:23"
P2509241136283f24fea,M10000001202511340C0,Y,M10000001,"2025-09-24 11:36:30"
P2509241201060136f12,M1000000120254136C27,Y,M10000001,"2025-09-24 12:01:06"
P250924130603ab962e6,M100002082025412A068,Y,M10000208,"2025-09-24 13:06:03"
P25092419454447a7b0d,M100002102025605B543,Y,M10000210,"2025-09-24 19:45:44"
P250925152057a53f146,LC10692025301F0BA,Y,M10000186,"2025-09-25 15:20:57"
P250925152057a53f146,LC10692025302D05D,Y,M10000186,"2025-09-25 15:20:57"
P250925152057a53f146,LC106920253034714,Y,M10000186,"2025-09-25 15:20:57"
